bvid,title,length,category,topic,season,created,play,status,video,text,url
BV1V24y1u7dd,香港珠宝展后还有哪些值得购买的宝石？,03:39,02_彩色宝石,02_彩色宝石,,1678961948,13844,downloaded,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1V24y1u7dd
BV1px4y1K7ph,GIA全面数字化，从此告别钻石纸质证书,02:58,01_钻石,01_钻石,,1678708068,13950,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV1px4y1K7ph
BV1Hk4y1h7uG,震惊!小几百竟然能够买到如此美的月光石?!,02:22,02_彩色宝石,02_彩色宝石,,1678531746,25002,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1Hk4y1h7uG
BV12x4y1N7NB,珠宝展后，究竟是贩卖焦虑还是真涨价？,03:38,07_行情与选购,07_行情与选购,,1678443599,13481,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/07_行情与选购,,https://www.bilibili.com/video/BV12x4y1N7NB
BV1Wj411u77d,买红宝石前必看，资深买家手把手教你挑红宝,08:56,【合集】彩宝选购合集,02_彩色宝石,彩宝选购合集,1678193610,144547,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】彩宝选购合集,,https://www.bilibili.com/video/BV1Wj411u77d
BV1Ds4y1o76Z,蓝宝选购攻略，看看珠宝商都是如何买蓝宝的,05:29,【合集】彩宝选购合集,02_彩色宝石,彩宝选购合集,1677848834,18151,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】彩宝选购合集,,https://www.bilibili.com/video/BV1Ds4y1o76Z
BV1oM4y1o7bw,3分钟从小白变大神，史诗级海蓝宝选购攻略,03:19,【合集】彩宝选购合集,02_彩色宝石,彩宝选购合集,1677674854,21838,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】彩宝选购合集,,https://www.bilibili.com/video/BV1oM4y1o7bw
BV1bY4y1m7tA,珍珠首饰明价局，便宜又好看谁不心动啊!!,02:58,04_有机宝石,04_有机宝石,,1677588941,15838,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/04_有机宝石,,https://www.bilibili.com/video/BV1bY4y1m7tA
BV1EX4y1973U,富婆的珠宝成品开箱，每一件都让人拍手称绝,03:01,【合集】珠宝开箱,11_其他,珠宝开箱,1677315600,22890,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】珠宝开箱,,https://www.bilibili.com/video/BV1EX4y1973U
BV18Y411k7Gy,小千就能轻松拿下的五大贵宝——金绿宝石,03:14,【合集】彩宝选购合集,02_彩色宝石,彩宝选购合集,1677147442,19675,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】彩宝选购合集,,https://www.bilibili.com/video/BV18Y411k7Gy
BV1SM411J7D2,OMG它们竟然都是鸽血红，你敢信?!,02:23,02_彩色宝石,02_彩色宝石,,1677063144,11044,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1SM411J7D2
BV1Ky4y1Z7zX,离了个大谱，彩宝真的又双叒要涨价了!!!,02:38,02_彩色宝石,02_彩色宝石,,1676891739,23902,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1Ky4y1Z7zX
BV1ET411D7mW,钻石平替怎么选？合成钻or白蓝宝,02:24,01_钻石,01_钻石,,1676714095,17941,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV1ET411D7mW
BV1mR4y1i71G,Tiffany一手捧红的夜公主——紫锂辉,02:20,02_彩色宝石,02_彩色宝石,,1676543268,22773,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1mR4y1i71G
BV1g54y1K7xP,英文名还能这样取?!珠宝人的独特取名方式,01:29,08_行业与商业,08_行业与商业,,1676373202,13250,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/08_行业与商业,,https://www.bilibili.com/video/BV1g54y1K7xP
BV14D4y1P7JC,祖母绿也有平替?! 2分钟教你花小钱办大事,02:12,02_彩色宝石,02_彩色宝石,,1676291627,671105,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV14D4y1P7JC
BV1Y24y1W7T2,1.8w的钻石十年后只值180?钻石骗局终于结束了?,01:37,01_钻石,01_钻石,,1676109600,11718,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV1Y24y1W7T2
BV1Z54y1P7LP,抽奖啦抽奖啦，二月生辰石紫水晶免费送!!!,03:02,【合集】生辰石,02_彩色宝石,生辰石,1675936654,15752,downloaded,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】生辰石,,https://www.bilibili.com/video/BV1Z54y1P7LP
BV1ov4y1t7Rb,千元预算，高质量情人节礼物攻略它来咯~,02:27,05_金属首饰与佩戴,05_金属首饰与佩戴,,1675768553,18347,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/05_金属首饰与佩戴,,https://www.bilibili.com/video/BV1ov4y1t7Rb
BV1vG4y1U71F,古柏林新增商用名称，红宝界又添一员大将,03:38,02_彩色宝石,02_彩色宝石,,1675680257,9531,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1vG4y1U71F
BV16T411d7hP,珠宝行业太内卷，宝石竟然可以定制成13.14ct!!,02:06,02_彩色宝石,02_彩色宝石,,1675420012,17082,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV16T411d7hP
BV1PM411q79G,资深珠宝人告诉你，这样鉴定宝石不靠谱！,02:21,02_彩色宝石,02_彩色宝石,,1675253968,15006,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1PM411q79G
BV1GD4y1J7Mh,高端玩家定制款式，超级玩家定制裸石!!,01:33,02_彩色宝石,02_彩色宝石,,1675159200,21183,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1GD4y1J7Mh
BV193411R7nA,不是吧阿sir，你竟然还不知道自己的生辰石？,05:30,【合集】生辰石,11_其他,生辰石,1674900000,192679,downloaded,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/【合集】生辰石,,https://www.bilibili.com/video/BV193411R7nA
BV1Sx4y1u7Pi,异形钻戒没市场?! 这么便宜不香吗?!,03:04,01_钻石,01_钻石,,1674637200,12019,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/01_钻石,,https://www.bilibili.com/video/BV1Sx4y1u7Pi
BV1GM411t7dk,宝石台面和火彩如何取舍？小孩子才做选择成年人全都要！,01:58,02_彩色宝石,02_彩色宝石,,1674550800,16229,transcribed,/Users/wenjiechen/Desktop/gemology-kb/library/01_video/02_彩色宝石,,https://www.bilibili.com/video/BV1GM411t7dk
